block_id,shift
block_1671,611-01
block_1672,611-02
block_1673,664-01
block_1674,664-02
block_1675,664-03
block_1676,664-04
block_1677,704-01
block_1678,704-02
block_1679,704-03
block_1680,706-01
block_1681,706-02
block_1682,782-01
block_1683,782-02
block_1684,782-03
block_1685,782-04
block_1686,902-01
block_1687,902-02
block_1688,903-01
block_1689,904-01
block_1690,904-02
block_1691,904-03
block_1692,917-01
block_1693,918-01
block_1694,937-01
block_1695,948-01
block_1696,102-01
block_1697,102-02
block_1698,102-03
block_1699,102-04
block_1700,102-05
block_1701,104-01
block_1702,104-02
block_1703,104-03
block_1704,105-01
block_1705,105-02
block_1706,107-01
block_1707,107-02
block_1708,107-03
block_1709,111-01
block_1710,112-01
block_1711,112-02
block_1712,112-03
block_1713,112-04
block_1714,116-01
block_1715,120-01
block_1716,120-02
block_1717,120-03
block_1718,120-04
block_1719,121-01
block_1720,121-02
block_1721,122-01
block_1722,122-02
block_1723,122-03
block_1724,122-04
block_1725,123-01
block_1726,123-02
block_1727,123-03
block_1728,123-04
block_1729,123-05
block_1730,123-06
block_1731,123-07
block_1732,124-01
block_1733,124-02
block_1734,124-03
block_1735,124-04
block_1736,124-05
block_1737,124-06
block_1738,124-07
block_1739,125-01
block_1740,125-02
block_1741,125-03
block_1742,125-04
block_1743,125-05
block_1744,125-06
block_1745,125-07
block_1746,127-01
block_1747,128-01
block_1748,128-02
block_1749,128-03
block_1750,128-04
block_1751,128-05
block_1752,128-06
block_1753,128-07
block_1754,128-08
block_1755,130-01
block_1756,130-02
block_1757,130-03
block_1758,130-04
block_1759,130-05
block_1760,130-06
block_1761,132-01
block_1762,132-02
block_1763,132-03
block_1764,132-04
block_1765,132-05
block_1766,132-06
block_1767,132-07
block_1768,132-08
block_1769,134-01
block_1770,134-02
block_1771,138-01
block_1772,138-02
block_1773,138-03
block_1774,138-04
block_1775,138-05
block_1776,138-06
block_1777,138-07
block_1778,139-01
block_1779,139-02
block_1780,139-03
block_1781,139-04
block_1782,139-05
block_1783,139-06
block_1784,139-07
block_1785,139-08
block_1786,139-09
block_1787,139-10
block_1788,140-01
block_1789,140-02
block_1790,144-01
block_1791,144-02
block_1792,144-03
block_1793,144-04
block_1794,144-05
block_1795,144-06
block_1796,144-07
block_1797,144-08
block_1798,144-09
block_1799,144-10
block_1800,148-01
block_1801,148-02
block_1802,148-03
block_1803,148-04
block_1804,148-05
block_1805,149-01
block_1806,151-01
block_1807,151-02
block_1808,151-03
block_1809,151-04
block_1810,153-01
block_1811,153-02
block_1812,153-03
block_1813,153-04
block_1814,155-01
block_1815,155-02
block_1816,155-03
block_1817,155-04
block_1818,156-01
block_1819,158-01
block_1820,158-02
block_1821,158-03
block_1822,160-01
block_1823,160-02
block_1824,160-03
block_1825,161-01
block_1826,162-01
block_1827,162-02
block_1828,162-03
block_1829,162-04
block_1830,164-01
block_1831,164-02
block_1832,164-03
block_1833,164-04
block_1834,164-05
block_1835,164-06
block_1836,164-07
block_1837,164-08
block_1838,164-09
block_1839,168-01
block_1840,168-02
block_1841,169-01
block_1842,169-02
block_1843,169-03
block_1844,169-04
block_1845,169-05
block_1846,169-06
block_1847,169-07
block_1848,169-08
block_1849,169-09
block_1850,169-10
block_1851,169-11
block_1852,171-01
block_1853,171-02
block_1854,173-01
block_1855,173-02
block_1856,173-03
block_1857,173-04
block_1858,173-05
block_1859,173-06
block_1860,173-07
block_1861,173-08
block_1862,173-09
block_1863,174-01
block_1864,174-02
block_1865,174-03
block_1866,174-04
block_1867,174-05
block_1868,174-06
block_1869,174-07
block_1870,174-08
block_1871,174-09
block_1872,175-01
block_1873,175-02
block_1874,176-01
block_1875,179-01
block_1876,179-02
block_1877,179-03
block_1878,179-04
block_1879,179-05
block_1880,179-06
block_1881,179-07
block_1882,179-08
block_1883,179-09
block_1884,179-10
block_1885,179-11
block_1886,179-12
block_1887,179-13
block_1888,179-14
block_1889,179-15
block_1890,180-01
block_1891,182-01
block_1892,182-02
block_1893,182-03
block_1894,182-04
block_1895,182-05
block_1896,182-06
block_1897,182-07
block_1898,189-01
block_1899,189-02
block_1900,189-03
block_1901,189-04
block_1902,189-05
block_1903,189-06
block_1904,189-07
block_1905,191-01
block_1906,192-01
block_1907,192-02
block_1908,192-03
block_1909,192-04
block_1910,192-05
block_1911,192-06
block_1912,192-07
block_1913,194-01
block_1914,194-02
block_1915,194-03
block_1916,194-04
block_1917,194-05
block_1918,194-06
block_1919,194-07
block_1920,194-08
block_1921,194-09
block_1922,194-10
block_1923,194-11
block_1924,194-12
block_1925,194-13
block_1926,194-14
block_1927,194-15
block_1928,194-16
block_1929,194-17
block_1930,195-01
block_1931,195-02
block_1932,195-03
block_1933,195-04
block_1934,195-05
block_1935,198-01
block_1936,198-02
block_1937,198-03
block_1938,199-01
block_1939,199-02
block_1940,199-03
block_1941,199-04
block_1942,199-05
block_1943,199-06
block_1944,199-07
block_1945,199-08
block_1946,200-01
block_1947,200-02
block_1948,202-01
block_1949,202-02
block_1950,203-01
block_1951,203-02
block_1952,203-03
block_1953,204-01
block_1954,204-02
block_1955,204-03
block_1956,204-04
block_1957,204-05
block_1958,204-06
block_1959,207-01
block_1960,207-02
block_1961,207-03
block_1962,209-01
block_1963,210-01
block_1964,211-01
block_1965,211-02
block_1966,211-03
block_1967,211-04
block_1968,212-01
block_1969,214-01
block_1970,214-02
block_1971,214-03
block_1972,215-01
block_1973,215-02
block_1974,217-01
block_1975,217-02
block_1976,218-01
block_1977,218-02
block_1978,218-03
block_1979,219-01
block_1980,220-01
block_1981,220-02
block_1982,221-01
block_1983,221-02
block_1984,222-01
block_1985,222-02
block_1986,223-01
block_1987,223-02
block_1988,224-01
block_1989,225-01
block_1990,225-02
block_1991,225-03
block_1992,225-04
block_1993,227-01
block_1994,227-02
block_1995,227-03
block_1996,228-01
block_1997,228-02
block_1998,229-01
block_1999,229-02
block_2000,229-03
block_2001,229-04
block_2002,230-01
block_2003,230-02
block_2004,232-01
block_2005,232-02
block_2006,233-01
block_2007,233-02
block_2008,234-01
block_2009,234-02
block_2010,235-01
block_2011,235-02
block_2012,235-03
block_2013,238-01
block_2014,238-02
block_2015,238-03
block_2016,238-04
block_2017,239-01
block_2018,239-02
block_2019,240-01
block_2020,242-01
block_2021,243-01
block_2022,244-01
block_2023,244-02
block_2024,244-03
block_2025,244-04
block_2026,245-01
block_2027,245-02
block_2028,247-01
block_2029,248-01
block_2030,248-02
block_2031,248-03
block_2032,248-04
block_2033,249-01
block_2034,249-02
block_2035,249-03
block_2036,249-04
block_2037,249-05
block_2038,250-01
block_2039,253-01
block_2040,253-02
block_2041,253-03
block_2042,254-01
block_2043,254-02
block_2044,254-03
block_2045,255-01
block_2046,255-02
block_2047,257-01
block_2048,257-02
block_2049,258-01
block_2050,258-02
block_2051,259-01
block_2052,259-02
block_2053,260-01
block_2054,260-02
block_2055,262-01
block_2056,264-01
block_2057,265-01
block_2058,267-01
block_2059,267-02
block_2060,268-01
block_2061,268-02
block_2062,269-01
block_2063,269-02
block_2064,269-03
block_2065,269-04
block_2066,269-05
block_2067,270-01
block_2068,272-01
block_2069,273-01
block_2070,274-01
block_2071,274-02
block_2072,275-01
block_2073,275-02
block_2074,277-01
block_2075,277-02
block_2076,278-01
block_2077,278-02
block_2078,278-03
block_2079,279-01
block_2080,280-01
block_2081,283-01
block_2082,283-02
block_2083,283-03
block_2084,284-01
block_2085,285-01
block_2086,285-02
block_2087,288-01
block_2088,288-02
block_2089,290-01
block_2090,290-02
block_2091,293-01
block_2092,293-02
block_2093,295-01
block_2094,295-02
block_2095,297-01
block_2096,297-02
block_2097,298-01
block_2098,298-02
block_2099,299-01
block_2100,300-01
block_2101,300-02
block_2102,300-03
block_2103,300-04
block_2104,300-05
block_2105,300-06
block_2106,301-01
block_2107,301-02
block_2108,301-03
block_2109,301-04
block_2110,301-05
block_2111,301-06
block_2112,301-07
block_2113,301-08
block_2114,301-09
block_2115,304-01
block_2116,304-02
block_2117,304-03
block_2118,304-04
block_2119,304-05
block_2120,304-06
block_2121,304-07
block_2122,304-08
block_2123,304-09
block_2124,304-10
block_2125,304-11
block_2126,304-12
block_2127,304-13
block_2128,304-14
block_2129,304-15
block_2130,304-16
block_2131,307-01
block_2132,307-02
block_2133,307-03
block_2134,307-04
block_2135,307-05
block_2136,307-06
block_2137,307-07
block_2138,310-01
block_2139,310-02
block_2140,310-03
block_2141,310-04
block_2142,310-05
block_2143,310-06
block_2144,310-07
block_2145,310-08
block_2146,317-01
block_2147,317-02
block_2148,317-03
block_2149,317-04
block_2150,317-05
block_2151,337-01
block_2152,337-02
block_2153,337-03
block_2154,337-04
block_2155,337-05
block_2156,337-06
block_2157,405-01
block_2158,405-02
block_2159,405-03
block_2160,420-01
block_2161,420-02
block_2162,433-01
block_2163,433-02
block_2164,475-01
block_2165,475-02
block_2166,503-01
block_2167,503-02
block_2168,503-03
block_2169,503-04
block_2170,503-05
block_2171,503-06
block_2172,503-07
block_2173,503-08
block_2174,503-09
block_2175,511-01
block_2176,511-02
block_2177,511-03
block_2178,511-04
block_2179,511-05
block_2180,511-06
block_2181,511-07
block_2182,511-08
block_2183,511-09
block_2184,513-01
block_2185,513-02
block_2186,513-03
block_2187,513-04
block_2188,513-05
block_2189,513-06
block_2190,513-07
block_2191,513-08
block_2192,572-01
block_2193,572-02
block_2194,572-03
block_2195,572-04
block_2196,572-05
block_2197,572-06
block_2198,572-07
block_2199,601-01
block_2200,601-02
block_2201,601-03
block_2202,601-04
block_2203,605-01
block_2204,605-02
block_2205,608-01
block_2206,608-02
block_2207,608-03
block_2208,608-04
block_2209,610-01
block_2210,610-02
block_2211,610-03
block_2212,611-01
block_2213,611-02
block_2214,662-01
block_2215,662-02
block_2216,662-03
block_2217,664-01
block_2218,664-02
block_2219,664-03
block_2220,669-01
block_2221,669-02
block_2222,669-03
block_2223,704-01
block_2224,704-02
block_2225,704-03
block_2226,706-01
block_2227,706-02
block_2228,782-01
block_2229,782-02
block_2230,782-03
block_2231,782-04
block_2232,902-01
block_2233,902-02
block_2234,904-01
block_2235,904-02
block_2236,904-03
block_2237,917-01
block_2238,937-01
